ID;Produit;Annonceur;Pubs correspondantes;
156;Abonnement Joystick;Joystick;4203, 4222, 4292, 4317;
157;Listing (jeux, matériel, magasin, logiciels) Floppy International;Floppy International;4207, 4239;
158;Listing (jeux, matériel, magasin) Century Soft;Century Soft;4240, 4263, 4315, 4385, 4428, 4530, 4557, 4607, 4625, 4660, 4729, 4772, 4824, 4861, 4921, 4959, 5016, 5122, 5164, 5187, 5283, 5292, 5371, 5426, 5491, 5557, 5834, 5856, 5898, 5945, 5986, 6059, 6107, 6158, 6216, 6299;
159;Club Games Mania;Games Mania;4196, 4248, 4271, 4333, 4359, 4533;
160;Gamme Indiana;Intel Inside, Fujitsu Icl;4154, 4198, 4277;
161;Listing (jeux, matériel, magasin) 3615 CD passion;3615 CD passion;4254, 4284;
162;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;4331, 4374, 4458;
163;Sélection Pioneer Joystick;Pioneer, Joystick;4362, 4414, 4487, 4555, 4590, 4630;
164;Listing (jeux, matériel, magasin) Fun Games;Fun Games;4365, 4425, 4509;
165;Abonnement Joystick;Joystick;4358, 4427, 4527, 4563, 4582, 4644, 4670, 4692, 4759, 4785, 4832, 4876, 4946, 5082;
166;Club d’échange;At The Top;4377, 4332, 4452, 4537;
167;Listing (jeux, magasin) Espace 3 Games;Espace 3 Games;4424, 4515, 4569, 4592, 4657, 4716, 4757, 4821, 4866, 4897, 4954, 5075, 5145, 5220, 5240, 5348;
168;Listing (jeux, magasin) Score Games;Score Games;4449, 4531, 4573, 4627;
169;Listing (jeux, magasin, logiciels) Score Games;Score Games;4543, 4576, 4649, 4686, 4732, 4774;
170;Listing (jeux, magasin) Ultima Games;Ultima Games;4570, 4605;
171;Club d’échange;At The Top;4564, 4606, 4648, 4680, 5021;
172;Listing (jmatériel) Micro Pc;Micro Pc;4603, 4637, 4678, 4722, 4773, 4825, 4867, 4920, 4999;
173;Listing (jeux, magasin) Ultima Games;Ultima Games;4669, 4718;
